"AAR_KVARTAL";"FYLKE";"ANTALL";"PROSENT"
"2020K4";"32 Akershus";93846;14,3
"2020K4";"33 Buskerud";32207;4,9
"2020K4";"34 Innlandet";41327;6,3
"2020K4";"39 Vestfold";30137;4,6
"2020K4";"40 Telemark";20114;3,1
"2020K4";"42 Agder";37875;5,8
"2020K4";"46 Vestland";76895;11,7
"2020K4";"50 Trøndelag - Trööndelage";56609;8,6
"2020K4";"55 Troms - Romsa - Tromssa ";19530;3
"2020K4";"56 Finnmark - Finnmárku - Finmarkku";8609;1,3
"2020K4";"98 Utland";3461;0,5
"2020K4";"99 Ukjent";36;0
"2021K1";"00 I alt";660272;100
"2021K1";"03 Oslo";78983;12
"2021K1";"11 Rogaland";62904;9,5
"2021K1";"15 Møre og Romsdal";31968;4,8
"2021K1";"18 Nordland - Nordlánnda";28249;4,3
"2021K1";"31 Østfold";36793;5,6
"2021K1";"32 Akershus";94184;14,3
"2021K1";"33 Buskerud";32249;4,9
"2021K1";"34 Innlandet";41154;6,2
"2021K1";"39 Vestfold";30178;4,6
"2021K1";"40 Telemark";20116;3
"2021K1";"42 Agder";37803;5,7
"2021K1";"46 Vestland";77040;11,7
"2021K1";"50 Trøndelag - Trööndelage";56869;8,6
"2021K1";"55 Troms - Romsa - Tromssa ";19560;3
"2021K1";"56 Finnmark - Finnmárku - Finmarkku";8611;1,3
"2021K1";"98 Utland";3562;0,5
"2021K1";"99 Ukjent";49;0
"2021K2";"00 I alt";660481;100
"2021K2";"03 Oslo";79031;12
"2021K2";"11 Rogaland";62936;9,5
"2021K2";"15 Møre og Romsdal";31902;4,8
"2021K2";"18 Nordland - Nordlánnda";28235;4,3
"2021K2";"31 Østfold";36765;5,6
"2021K2";"32 Akershus";94397;14,3
"2021K2";"33 Buskerud";32243;4,9
"2021K2";"34 Innlandet";41097;6,2
"2021K2";"39 Vestfold";30190;4,6
"2021K2";"40 Telemark";20000;3
"2021K2";"42 Agder";37907;5,7
