"AARMND";"PX_DATA";"STATISTIKKVARIABEL_TELLING";"REGION";"STATISTIKKVARIABEL_REGION";"HOVEDGRUPPETEKST"
202507;0,5;"prosent";"3105 Sarpsborg";"kommune";"Arbeidssøkere på tiltak"
202508;0,5;"prosent";"3105 Sarpsborg";"kommune";"Arbeidssøkere på tiltak"
202501;1;"prosent";"3105 Sarpsborg";"kommune";"Delvis ledige"
202502;1;"prosent";"3105 Sarpsborg";"kommune";"Delvis ledige"
202503;1;"prosent";"3105 Sarpsborg";"kommune";"Delvis ledige"
202504;1;"prosent";"3105 Sarpsborg";"kommune";"Delvis ledige"
202505;1,1;"prosent";"3105 Sarpsborg";"kommune";"Delvis ledige"
202506;1;"prosent";"3105 Sarpsborg";"kommune";"Delvis ledige"
202507;0,9;"prosent";"3105 Sarpsborg";"kommune";"Delvis ledige"
202508;1;"prosent";"3105 Sarpsborg";"kommune";"Delvis ledige"
202501;3,5;"prosent";"3105 Sarpsborg";"kommune";"Helt ledige"
202502;3,3;"prosent";"3105 Sarpsborg";"kommune";"Helt ledige"
202503;3,2;"prosent";"3105 Sarpsborg";"kommune";"Helt ledige"
202504;3;"prosent";"3105 Sarpsborg";"kommune";"Helt ledige"
202505;2,9;"prosent";"3105 Sarpsborg";"kommune";"Helt ledige"
202506;3,2;"prosent";"3105 Sarpsborg";"kommune";"Helt ledige"
202507;3,3;"prosent";"3105 Sarpsborg";"kommune";"Helt ledige"
202508;3,3;"prosent";"3105 Sarpsborg";"kommune";"Helt ledige"
202501;359;"antall";"3107 Fredrikstad";"kommune";"Arbeidssøkere på tiltak"
202502;425;"antall";"3107 Fredrikstad";"kommune";"Arbeidssøkere på tiltak"
202503;430;"antall";"3107 Fredrikstad";"kommune";"Arbeidssøkere på tiltak"
202504;392;"antall";"3107 Fredrikstad";"kommune";"Arbeidssøkere på tiltak"
202505;355;"antall";"3107 Fredrikstad";"kommune";"Arbeidssøkere på tiltak"
202506;256;"antall";"3107 Fredrikstad";"kommune";"Arbeidssøkere på tiltak"
202507;208;"antall";"3107 Fredrikstad";"kommune";"Arbeidssøkere på tiltak"
202508;213;"antall";"3107 Fredrikstad";"kommune";"Arbeidssøkere på tiltak"
202501;421;"antall";"3107 Fredrikstad";"kommune";"Delvis ledige"
